split,kinase,inactive_structures,active_structures,cartesian_pairs,selected_pairs,strategy
train,ABL1,36,7,252,4,balanced_cycle
train,AKT1,17,16,272,4,balanced_cycle
train,ALK,3,61,183,4,balanced_cycle
train,BRAF,89,20,1780,4,balanced_cycle
train,CDK4,11,3,33,4,balanced_cycle
train,CDK6,14,5,70,4,balanced_cycle
train,EGFR,103,164,16892,4,balanced_cycle
train,ERBB2,3,2,6,3,balanced_cycle
train,FGFR1,2,59,118,4,balanced_cycle
val,KIT,25,10,250,4,balanced_cycle
val,MET,95,6,570,4,balanced_cycle
test,PDGFRA,9,2,18,4,balanced_cycle
test,PIK3CA,4,97,388,4,balanced_cycle
